身,,shēn,body,level11
巳,,,,level11
㇂,,,,level11
辛,,xīn,bitter,level12
⺧,,niú,cow,level12
⺮,,zhú,bamboo,level12
弓,,gōng,bow,level12
曰,,yuē,say,level12
艹,,cǎo,grass,level12
冫,,bīng,ice,level12
㠯,,,,level12
皮,,pí,skin,level13
回,,,,level13
比,,bǐ,compare,level13
非,,fēi,wrong,level13
忄,,xīn,heart,level13
虫,,huǐ,insect,level13
彑,,jì,snout,level13
老,,lǎo,old,level14
母,,wú,do not,level14
穴,,xué,cave,level14
川,,chuān,river,level14
疋,,pǐ,bolt of cloth,level14
衤,,yī,clothes,level15
⺙,,,,level15
艮,,gēn,stopping,level15
林,,,,level15
㇈,,,,level16
州,,,,level16
角,,jiǎo,horn,level16
弋,,yì,shoot,level16
北,,,,level16
雨,,yǔ,rain,level16
气,,qì,steam,level16
歹,,dǎi,death,level17
卩,,jié,seal,level17
兵,,,,level17
龶,,,,level17
爫,,zhǎo,claw,level17
鼠,,shǔ,rat,level17
氺,,shuǐ,water,level18
𢛳,,,,level18
廴,,yǐn,long stride,level18
聿,,yù,brush,level18
礻,,shì,spirit,level18
父,,fù,father,level18
匸,,xǐ/xì,hiding enclosure,level18
色,,sè,color,level18
⻊,,zú,foot,level18
斗,,dǒu,dipper,level18
匚,,fāng,right open box,level19
食,,,,level19
糸,,,,level19
鬼,,guǐ,ghost,level19
支,,zhī,branch,level20
隹,,zhuī,short-tailed bird,level20
风,𠘨,fēng,wind,level20
舟,,zhōu,boat,level20
⺕,,,,level21
谷,,gǔ,valley,level21
飞,飛,fēi,fly,level22
彡,,shān,bristle,level22
品,,,,level22
髟,,biāo,hair,level22
毛,,máo,fur,level22
㇙,,,,level23
臣,,chén,minister,level23
氏,,shì,clan,level24
齐,齊,qí,even,level24
凹,,,,level24
㇖,,,,level25
凸,,,,level25
众,,,,level26
龙,龍,lóng,dragon,level26
鸟,鳥,niǎo,bird,level26
罒,,wǎng,net,level26
羽,,yǔ,feather,level27
⺳,,wǎng,net,level27
乙,,yǐ,second,level28
禸,,róu,track,level28
革,,gé,leather,level28
旡,,wú,not,level28
疒,,nè,sickness,level28
牙,,yá,fang,level28
豆,,dòu,bean,level29
鱼,魚,yú,fish,level29
黑,,hēi,black,level29
卯,,,,level30
㇠,,,,level30
双,,,,level31
钅,釒,jīn,gold,level32
戋,,,,level32
㗊,,,,level32
㇉,,,,level32
饣,飠,shí,eat,level32
吕,,,,level33
册,,,,level34
酉,,yǒu,wine,level34
炎,,,,level34
幺,,yāo,short thread,level35
虍,,hū,tiger,level35
皿,,mǐn,dish,level36
哥,,,,level37
犭,,quǎn,dog,level38
辰,,chén,morning,level38
韦,韋,wéi,tanned leather,level38
圭,,,,level39
香,,xiāng,fragrant,level40
癶,,bō,"dotted tent, legs",level42
血,,xuè,blood,level43
麻,,má,hemp,level44
釆,,biàn,distinguish,level46
朋,,,,level47
隶,,lì,slave,level49
玨,,,,level50
屮,,chè,sprout,level51
㚘,,,,level51
昌,,,,level52
爿,,qiáng,half tree trunk,level52
骨,,gǔ,bone,level52
肉,,ròu,meat,level54
串,,,,level55
缶,,fǒu,jar,level57
曳,,,,level57
赤,,chì,red,level58
鼓,,gǔ,drum,level58
吅,,,,level60
弱,,,,level60
瓜,,guā,melon,level60
兟,,,,level61
瓦,,wǎ,tile,level62
舛,,chuǎn,oppose,level62
乑,,,,level63
耒,,lěi,plow,level63
爪,,zhǎo,claw,level64
巛,,chuān,river,level66
門,,,,level66
森,,,,level67
臼,,jiù,mortar,level67
矛,,máo,spear,level68
镸,,,,level68
⺪,,pǐ,bolt of cloth,level69
龠,,yuè,flute,level70
頁,,,,level70
麦,麥,mài,wheat,level72
鬲,,lì,cauldron,level73
貝,,,,level73
叒,,,,level75
𢆶,,,,level75
齿,齒,chǐ,tooth,level77
辡,,,,level77
鼻,,bí,nose,level78
豸,,zhì,badger,level78
歺,,dǎi,death,level86
玄,,xuán,profound,level88
糹,,,,level94
攴,,pū,rap,level95
黾,黽,mǐn,frog,level98
晶,,,,level100
畕,,,,level101
齒,,,,level101
爻,,yáo,double x,level106
㸚,,,,level107
厽,,,,level111
䖵,,,,level115
叕,,,,level128
甩,,,,level130
弜,,,,level130
兢,,,,level131
㇀,,,,level139
韭,,jiǔ,leek,level139
鹿,,lù,deer,level139
